Test: partitions, many clients (3A) ...
2024/09/30 16:51:32 server[4] append entries successfully, rf.nextIndex[4]: 3
2024/09/30 16:51:32 server[2] append entries successfully, rf.nextIndex[2]: 3
2024/09/30 16:51:32 server[3] append entries successfully, rf.nextIndex[3]: 3
2024/09/30 16:51:32 server[0] append entries successfully, rf.nextIndex[0]: 3
2024/09/30 16:51:33 server[0] append entries successfully, rf.nextIndex[0]: 5
2024/09/30 16:51:33 server[4] append entries successfully, rf.nextIndex[4]: 5
2024/09/30 16:51:33 server[2] append entries successfully, rf.nextIndex[2]: 5
2024/09/30 16:51:33 server[3] append entries successfully, rf.nextIndex[3]: 5
2024/09/30 16:51:33 server[4] append entries successfully, rf.nextIndex[4]: 7
2024/09/30 16:51:33 server[3] append entries successfully, rf.nextIndex[3]: 7
2024/09/30 16:51:33 server[0] append entries successfully, rf.nextIndex[0]: 7
2024/09/30 16:51:33 server[2] append entries successfully, rf.nextIndex[2]: 7
2024/09/30 16:51:33 server[0] append entries successfully, rf.nextIndex[0]: 8
2024/09/30 16:51:33 server[2] append entries successfully, rf.nextIndex[2]: 8
2024/09/30 16:51:33 server[4] append entries successfully, rf.nextIndex[4]: 8
2024/09/30 16:51:33 server[3] append entries successfully, rf.nextIndex[3]: 8
2024/09/30 16:51:33 server[2] append entries successfully, rf.nextIndex[2]: 11
2024/09/30 16:51:33 server[0] append entries successfully, rf.nextIndex[0]: 11
2024/09/30 16:51:33 server[4] append entries successfully, rf.nextIndex[4]: 11
2024/09/30 16:51:33 server[3] append entries successfully, rf.nextIndex[3]: 11
2024/09/30 16:51:33 server[3] append entries successfully, rf.nextIndex[3]: 14
2024/09/30 16:51:33 server[4] append entries successfully, rf.nextIndex[4]: 14
2024/09/30 16:51:33 server[0] append entries successfully, rf.nextIndex[0]: 14
2024/09/30 16:51:33 server[2] append entries successfully, rf.nextIndex[2]: 14
2024/09/30 16:51:33 server[2] append entries successfully, rf.nextIndex[2]: 17
2024/09/30 16:51:33 server[4] append entries successfully, rf.nextIndex[4]: 17
2024/09/30 16:51:33 server[4] append entries successfully, rf.nextIndex[4]: 18
2024/09/30 16:51:33 server[2] append entries successfully, rf.nextIndex[2]: 18
2024/09/30 16:51:33 server[4] append entries successfully, rf.nextIndex[4]: 21
2024/09/30 16:51:33 server[2] append entries successfully, rf.nextIndex[2]: 21
2024/09/30 16:51:34 server[4] append entries successfully, rf.nextIndex[4]: 24
2024/09/30 16:51:34 server[2] append entries successfully, rf.nextIndex[2]: 24
2024/09/30 16:51:34 server[4] append entries successfully, rf.nextIndex[4]: 27
2024/09/30 16:51:34 server[2] append entries successfully, rf.nextIndex[2]: 27
2024/09/30 16:51:34 server[4] append entries successfully, rf.nextIndex[4]: 28
2024/09/30 16:51:34 server[2] append entries successfully, rf.nextIndex[2]: 28
2024/09/30 16:51:34 server[4] append entries successfully, rf.nextIndex[4]: 31
2024/09/30 16:51:34 server[2] append entries successfully, rf.nextIndex[2]: 31
2024/09/30 16:51:34 server[2] append entries successfully, rf.nextIndex[2]: 34
2024/09/30 16:51:34 server[4] append entries successfully, rf.nextIndex[4]: 34
2024/09/30 16:51:34 server[2] append entries successfully, rf.nextIndex[2]: 34
2024/09/30 16:51:34 server[2] append entries successfully, rf.nextIndex[2]: 34
2024/09/30 16:51:34 server[3] append entries successfully, rf.nextIndex[3]: 34
2024/09/30 16:51:34 server[3] append entries successfully, rf.nextIndex[3]: 36
2024/09/30 16:51:34 server[2] append entries successfully, rf.nextIndex[2]: 36
2024/09/30 16:51:35 server[3] append entries successfully, rf.nextIndex[3]: 38
2024/09/30 16:51:35 server[2] append entries successfully, rf.nextIndex[2]: 38
2024/09/30 16:51:35 server[2] append entries successfully, rf.nextIndex[2]: 39
2024/09/30 16:51:35 server[3] append entries successfully, rf.nextIndex[3]: 39
2024/09/30 16:51:35 server[3] append entries successfully, rf.nextIndex[3]: 42
2024/09/30 16:51:35 server[2] append entries successfully, rf.nextIndex[2]: 42
2024/09/30 16:51:35 server[3] append entries successfully, rf.nextIndex[3]: 45
2024/09/30 16:51:35 server[2] append entries successfully, rf.nextIndex[2]: 45
2024/09/30 16:51:35 server[2] append entries successfully, rf.nextIndex[2]: 48
2024/09/30 16:51:35 server[3] append entries successfully, rf.nextIndex[3]: 48
2024/09/30 16:51:35 server[3] append entries successfully, rf.nextIndex[3]: 50
